date,btc_price
5/27/2010,0.004598
5/28/2010,0.004547
5/29/2010,0.004485
5/30/2010,0.004485
5/31/2010,0.004485
6/1/2010,0.004485
6/2/2010,0.004485
6/3/2010,0.004485
6/4/2010,0.004485
6/5/2010,0.004485
6/6/2010,0.004485
6/7/2010,0.004518
6/8/2010,0.004518
6/9/2010,0.004563
6/10/2010,0.005
6/11/2010,0.005
6/12/2010,0.005
6/13/2010,0.005
6/14/2010,0.005
6/15/2010,0.005
6/16/2010,0.005
6/17/2010,0.005
6/18/2010,0.004975
6/19/2010,0.004975
6/20/2010,0.004975
6/21/2010,0.004975
6/22/2010,0.004975
6/23/2010,0.004967
6/24/2010,0.005181
6/25/2010,0.005181
6/26/2010,0.0044
6/27/2010,0.0044
6/28/2010,0.005328
6/29/2010,0.005328
6/30/2010,0.0054
7/1/2010,0.006032
7/2/2010,0.0055
7/3/2010,0.006409
7/4/2010,0.006777
7/5/2010,0.007153
7/6/2010,0.00575
7/7/2010,0.007893
7/8/2010,0.00625
7/9/2010,0.00625
7/10/2010,0.008099
7/11/2010,0.007886
7/12/2010,0.011933
7/13/2010,0.016075
7/14/2010,0.019472
7/15/2010,0.030863
7/16/2010,0.060535
7/17/2010,0.068107
7/18/2010,0.0858
7/19/2010,0.0808
7/20/2010,0.0747
7/21/2010,0.0792
7/22/2010,0.0505
7/23/2010,0.0626
7/24/2010,0.0545
7/25/2010,0.0505
7/26/2010,0.056
7/27/2010,0.06
7/28/2010,0.0589
7/29/2010,0.0699
7/30/2010,0.0627
7/31/2010,0.0679
8/1/2010,0.0611
8/2/2010,0.06
8/3/2010,0.06
8/4/2010,0.057
8/5/2010,0.061
8/6/2010,0.0623
8/7/2010,0.059
8/8/2010,0.0609
8/9/2010,0.071
8/10/2010,0.07
8/11/2010,0.067
8/12/2010,0.07
8/13/2010,0.0645
8/14/2010,0.067
8/15/2010,0.0653
8/16/2010,0.0655
8/17/2010,0.07
8/18/2010,0.068
8/19/2010,0.0667
8/20/2010,0.0655
8/21/2010,0.0664
8/22/2010,0.066
8/23/2010,0.0649
8/24/2010,0.065
8/25/2010,0.0648
8/26/2010,0.064
8/27/2010,0.065
8/28/2010,0.0641
8/29/2010,0.064
8/30/2010,0.065
8/31/2010,0.06
9/1/2010,0.0629
9/2/2010,0.0634
9/3/2010,0.0609
9/4/2010,0.0624
9/5/2010,0.0616
9/6/2010,0.0616
9/7/2010,0.061
9/8/2010,0.062
9/9/2010,0.0611
9/10/2010,0.0618
9/11/2010,0.0637
9/12/2010,0.0615
9/13/2010,0.0622
9/14/2010,0.062
9/15/2010,0.0604
9/16/2010,0.0619
9/17/2010,0.059
9/18/2010,0.061
9/19/2010,0.0627
9/20/2010,0.0621
9/21/2010,0.0627
9/22/2010,0.0622
9/23/2010,0.0623
9/24/2010,0.0622
9/25/2010,0.062
9/26/2010,0.062
9/27/2010,0.0622
9/28/2010,0.0619
9/29/2010,0.0619
9/30/2010,0.0619
10/1/2010,0.062
10/2/2010,0.0614
10/3/2010,0.0611
10/4/2010,0.0613
10/5/2010,0.0614
10/6/2010,0.0628
10/7/2010,0.067
10/8/2010,0.0869
10/9/2010,0.0938
10/10/2010,0.0965
10/11/2010,0.095
10/12/2010,0.0949
10/13/2010,0.105
10/14/2010,0.102
10/15/2010,0.105
10/16/2010,0.101
10/17/2010,0.102
10/18/2010,0.1024
10/19/2010,0.097
10/20/2010,0.099
10/21/2010,0.107
10/22/2010,0.1025
10/23/2010,0.1055
10/24/2010,0.115
10/25/2010,0.132
10/26/2010,0.1503
10/27/2010,0.1877
10/28/2010,0.1731
10/29/2010,0.19
10/30/2010,0.1989
10/31/2010,0.1925
11/1/2010,0.1955
11/2/2010,0.1938
11/3/2010,0.1931
11/4/2010,0.23
11/5/2010,0.26
11/6/2010,0.39
11/7/2010,0.34
11/8/2010,0.243
11/9/2010,0.21
11/10/2010,0.24
11/11/2010,0.2231
11/12/2010,0.2682
11/13/2010,0.276
11/14/2010,0.279
11/15/2010,0.2682
11/16/2010,0.223
11/17/2010,0.2299
11/18/2010,0.2678
11/19/2010,0.28
11/20/2010,0.283
11/21/2010,0.2768
11/22/2010,0.2879
11/23/2010,0.283
11/24/2010,0.283
11/25/2010,0.28
11/26/2010,0.2844
11/27/2010,0.283
11/28/2010,0.27
11/29/2010,0.2299
11/30/2010,0.2082
12/1/2010,0.2275
